index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
868,5.0,2.5,3224.0, N/A,Single Family Home,34.0,2017.0,28.0665,-80.678441,Melbourne,Brevard County,X   (),False,2017,2530,-15365.636363636364,-0.011055876462023773
869,3.0,2.5,1856.0, Medium,Single Family Home,66.0,1997.0,26.575739,-80.16535999999998,Lake Worth,Palm Beach County,X   (),True,2016,392,-8608.581818181818,0.20175045864949914
870,3.0,2.5,1652.0, Medium,Townhome,16.0,2018.0,26.607714,-80.187852,Lake Worth,Palm Beach County,X   (),False,2018,392,-12204.575757575756,-0.03639604019827125
871,3.0,2.0,2395.0, Medium,Single Family Home,25.0,1986.0,26.621486,-80.19026099999998,Lake Worth,Palm Beach County,X   (),False,1998,392,10951.837944664032,0.9566821376841624
872,3.0,3.0,1778.0, Medium,Single Family Home,74.0,1960.0,26.820690000000006,-80.077453,North Palm Beach,Palm Beach County,X   (),True,2011,4267,-13942.254545454543,0.3690706943238765
873,3.0,2.5,2433.0, N/A,Single Family Home,2.0,2001.0,30.589547,-81.65908,Yulee,Nassau County,A   (),False,2018,5945,-11203.090909090908,0.040940297377791666
874,3.0,2.0,1464.0, N/A,Single Family Home,31.0,2008.0,30.625337,-81.59021,Yulee,Nassau County,X   (),False,2018,5945,-12839.454545454546,-0.05279857854674258
875,4.0,3.0,2415.0, Low,Single Family Home,3.0,2005.0,28.747097,-81.530138,Apopka,Orange County,X   (),False,2006,1581,-214.71515151515155,-0.0077652751577889185
876,5.0,6.5,4802.0, Medium,Single Family Home,175.0,2021.0,26.348823,-80.073704,Boca Raton,Palm Beach County,AE   (),True,2019,2933,38028.95454545456,4.242766364544464
877,4.0,6.5,6125.0, Medium,Single Family Home,32.0,2002.0,26.831108,-80.06962800000002,West Palm Beach,Palm Beach County,X   (),True,2013,1689,-40735.78409090909,-0.7109920140717999
878,4.0,2.0,1666.0, Medium,Single Family Home,15.0,1951.0,28.11956,-80.622691,Melbourne,Brevard County,X   (),False,2016,912,-8560.090909090908,0.5782362216596201
879,4.0,2.0,1666.0, Medium,Single Family Home,15.0,1951.0,28.11956,-80.622691,Melbourne,Brevard County,X   (),False,2016,912,-8560.090909090908,0.5782362216596201
880,4.0,2.0,2347.0, Medium,Single Family Home,28.0,1987.0,26.222963,-80.272198,Tamarac,Broward County,AH   (),False,2019,401,-15081.090909090908,0.14841693203136275
881,3.0,3.5,1987.0, High,Townhome,18.0,2007.0,26.132978,-80.140059,Fort Lauderdale,Broward County,X500   (),True,2013,3988,-16481.511363636364,0.12068427000463032
882,2.0,2.0,2040.0, Medium,Condo,136.0,2006.0,27.844557,-82.785247,Seminole,Pinellas County,AE   (),False,2006,3848,-2741.3151515151512,-0.26065627190354
883,2.0,2.0,1470.0, Medium,Single Family Home,70.0,1972.0,27.854016,-82.799879,Seminole,Pinellas County,X   (),False,2018,3848,-16361.333333333332,-0.04294728211360127
884,2.0,2.0,1036.0, Medium,Condo,116.0,1988.0,28.217869,-82.683872,New Port Richey,Pasco County,AE   (),False,2006,2103,-1210.0848484848484,-0.15807629991318245
885,3.0,3.5,2873.0, Medium,Townhome,129.0,2007.0,26.969992,-80.08871500000002,Jupiter,Palm Beach County,X   (),False,2019,6345,-18365.954545454544,0.3070828601617287
886,4.0,2.0,2537.0, High,Single Family Home,83.0,1952.0,26.091332,-80.151045,Fort Lauderdale,Broward County,AH   (),True,1998,7517,1114.909090909092,0.8092531145957902
